Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,3455.00,3547.00,3438.20,3531.40,3523.082030023919561005,92393,8571,325508118.00,23578,25.52,108.80,76.40
27-April-2018,3540.00,3543.15,3449.30,3454.80,3475.704930390113162596,107456,6981,373485349.00,28156,26.20,93.85,-85.20
26-April-2018,3471.00,3560.00,3469.00,3540.35,3519.387044861521344653,150998,9408,531420405.00,21971,14.55,91.00,69.35
25-April-2018,3385.00,3481.50,3366.00,3467.90,3447.598595071485538428,221933,10387,765135899.00,28076,12.65,115.50,82.90
24-April-2018,3412.95,3443.50,3345.90,3385.65,3387.188244260752138151,195496,10185,662181753.00,33844,17.31,97.60,-27.30
23-April-2018,3429.00,3557.00,3400.00,3415.20,3480.582628861087826403,505816,24829,1760534383.00,63415,12.54,157.00,-13.80
20-April-2018,3250.20,3421.25,3245.00,3406.40,3337.054222072530134528,771955,30055,2576055692.00,221977,28.76,176.25,156.20
19-April-2018,3175.00,3215.00,3166.30,3190.65,3192.570077984168038247,102072,6361,325872013.00,27791,27.23,48.70,15.65
18-April-2018,3172.95,3189.80,3147.30,3159.50,3164.428972230174634984,52395,3866,165800256.00,12749,24.33,42.50,-13.45
17-April-2018,3190.00,3190.00,3149.30,3165.90,3166.635440034512510785,46360,2924,146805219.00,9446,20.38,40.70,-24.10
16-April-2018,3132.00,3199.00,3108.05,3184.80,3172.150607060740011708,117863,7252,373879187.00,16358,13.88,90.95,52.80
13-April-2018,3149.00,3238.00,3131.10,3151.00,3185.647080374253184533,141936,8194,452158004.00,24858,17.51,106.90,2.00
12-April-2018,3015.50,3150.00,3010.15,3137.30,3093.155626915462016218,921775,7737,2851193528.00,824729,89.47,139.85,121.80
11-April-2018,2950.00,3026.90,2947.20,3015.50,2994.064939700394786652,92455,4638,276816274.00,54313,58.75,79.70,65.50
10-April-2018,2939.00,2955.85,2925.10,2931.85,2940.478008603154489979,29989,1648,88181995.00,7709,25.71,30.75,-7.15
9-April-2018,2950.00,2963.00,2915.00,2921.15,2936.067507641968398846,23227,2348,68196040.00,9641,41.51,48.00,-28.85
6-April-2018,2941.00,2961.35,2927.00,2949.70,2945.288866883576177677,21207,1200,62460741.00,8279,39.04,34.35,8.70
5-April-2018,2915.55,2962.00,2915.55,2957.15,2951.332662498271703562,65093,2621,192111097.00,33069,50.80,46.45,41.60
4-April-2018,2923.00,2933.30,2891.95,2907.05,2915.684451178988223409,37617,1739,109679302.00,9510,25.28,41.35,-15.95
3-April-2018,2900.00,2927.15,2893.00,2908.10,2909.008192658678095571,34299,1813,99776072.00,14227,41.48,34.15,8.10
2-April-2018,2845.00,2910.00,2845.00,2902.90,2885.694425828832735443,50734,2797,146402821.00,13822,27.24,65.00,57.90
28-March-2018,2839.00,2874.00,2827.55,2849.30,2856.358494704900252263,82057,4430,234384209.00,37355,45.52,46.45,10.30
27-March-2018,2820.10,2869.00,2820.10,2841.85,2843.986958240021077591,37955,2559,107943525.00,13619,35.88,48.90,21.75
26-March-2018,2816.70,2822.90,2782.30,2813.05,2813.378499122688621946,148180,3727,416886426.00,106481,71.86,40.60,-3.65
23-March-2018,2806.70,2831.00,2800.00,2816.45,2815.946453278265358802,96850,4126,272724414.00,55819,57.63,31.00,9.75
22-March-2018,2856.00,2870.00,2825.00,2829.95,2844.495301737431890613,48635,1843,138342029.00,12465,25.63,45.00,-26.05
21-March-2018,2860.25,2882.00,2845.00,2854.60,2857.419749002626250476,99762,3253,285061909.00,50828,50.95,37.00,-5.65
20-March-2018,2827.45,2870.00,2820.70,2859.15,2851.677826605094592581,53704,2578,153146506.00,23140,43.09,49.30,31.70
19-March-2018,2840.70,2845.00,2820.05,2828.85,2829.174257140801496510,111192,3896,314581544.00,58170,52.31,24.95,-11.85
16-March-2018,2868.75,2870.00,2805.00,2825.50,2833.712872269010130599,131088,8845,371465753.00,37973,28.97,65.00,-43.25
15-March-2018,2891.15,2902.40,2857.65,2869.15,2882.835197435094249230,162813,3957,469363047.00,117836,72.38,44.75,-22.00
14-March-2018,2896.00,2925.00,2875.05,2886.10,2897.830172134288324932,135708,5956,393258737.00,42291,31.16,49.95,-9.90
13-March-2018,2928.00,2929.00,2884.10,2892.45,2901.882951555539580848,2197919,37530,6378103675.00,236501,10.76,44.90,-35.55
12-March-2018,3035.00,3080.00,3035.00,3051.85,3058.976791616850692735,71095,3179,217477955.00,23288,32.76,45.00,16.85
9-March-2018,3014.00,3059.95,2978.55,3034.50,3023.788023519114037257,105106,3286,317818264.00,15329,14.58,81.40,20.50
8-March-2018,3060.00,3060.00,2983.90,3001.50,3029.103995919659502620,56858,6649,172228795.00,25197,44.32,76.10,-58.50
7-March-2018,3055.00,3089.75,3024.25,3029.25,3039.353912968377934880,81051,2458,246342674.00,13168,16.25,65.50,-25.75
6-March-2018,3133.00,3133.00,3030.65,3049.80,3082.896813969052302825,49309,3159,152014559.00,12659,25.67,102.35,-83.20
5-March-2018,3069.00,3112.45,3036.05,3104.30,3073.101682985155439245,110815,4818,340545763.00,43259,39.04,76.40,35.30
1-March-2018,3041.00,3060.00,3021.95,3037.10,3040.390346534653465346,28280,1901,85982239.00,7201,25.46,38.05,-3.90
28-February-2018,3040.00,3062.35,3023.35,3038.25,3042.905735965976929832,101343,1667,308377196.00,77336,76.31,39.00,-1.75
27-February-2018,3049.95,3077.80,3035.00,3043.25,3054.544849385610516840,47771,1835,145918662.00,17174,35.95,42.80,-6.70
26-February-2018,3078.10,3084.75,3027.00,3035.25,3047.578131571042355061,49935,2353,152180814.00,11421,22.87,57.75,-42.85
23-February-2018,3042.00,3100.00,2996.05,3076.90,3050.580596557105730629,296669,6622,905012695.00,197348,66.52,103.95,34.90
22-February-2018,3045.00,3077.95,3022.55,3040.40,3044.356130275892534436,74703,3490,227422536.00,18198,24.36,55.40,-4.60
21-February-2018,2961.00,3060.00,2961.00,3043.05,3011.023162779533544025,124985,6873,376332730.00,59508,47.61,99.00,82.05
20-February-2018,2930.00,2983.45,2929.10,2945.05,2958.882847738632207728,41015,2076,121358580.00,8288,20.21,54.35,15.05
19-February-2018,2940.00,2952.45,2898.40,2924.55,2927.680932689549670140,83672,3809,244964919.00,24303,29.05,54.05,-15.45
16-February-2018,2925.00,2999.00,2924.00,2937.20,2973.875968584666951463,304310,17139,904980196.00,187705,61.68,75.00,12.20
15-February-2018,2929.00,2942.50,2906.60,2925.75,2925.946222362353683048,50746,2371,148480067.00,12516,24.66,35.90,-3.25
14-February-2018,2965.00,2974.00,2894.25,2910.45,2937.904869195143322067,55923,2631,164296454.00,20040,35.83,79.75,-54.55
12-February-2018,3008.00,3018.00,2956.00,2967.90,2994.467978677799625131,1196687,2910,3583440902.00,1145016,95.68,62.00,-40.10
9-February-2018,2960.00,2991.75,2900.00,2972.30,2936.608213059000693727,59101,3283,173556482.00,8819,14.92,91.75,12.30
8-February-2018,2971.00,3026.75,2957.20,2966.25,3000.032582876882564472,1271404,6634,3814253426.00,1177629,92.62,69.55,-4.75
