Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-March-2018,241.10,248.40,240.30,245.25,243.687324799425549249,72417,1349,17647105.00,14053,19.41,8.10,4.15
19-March-2018,251.75,252.10,244.40,245.05,247.610803985803985803,29304,631,7255987.00,4957,16.92,7.70,-6.70
16-March-2018,251.00,255.30,250.45,252.15,252.553745267712276906,59168,1060,14943100.00,11619,19.64,4.85,1.15
15-March-2018,247.80,252.00,246.50,250.30,249.300675179803317187,13626,402,3396971.00,5118,37.56,5.50,2.50
14-March-2018,247.80,250.80,246.90,247.85,248.837612853121056208,41204,608,10253105.00,13951,33.86,3.90,0.05
13-March-2018,244.25,248.25,243.80,246.85,246.197400914942714869,24701,369,6081322.00,8580,34.74,4.45,2.60
12-March-2018,250.00,250.00,243.25,246.05,245.506755274816861867,45594,634,11193635.00,16735,36.70,6.75,-3.95
9-March-2018,249.80,249.80,244.40,246.75,246.332949716713881019,22592,362,5565154.00,9151,40.51,5.40,-3.05
8-March-2018,247.00,247.85,240.65,245.75,243.712694926422139248,45530,683,11096239.00,12268,26.94,7.20,-1.25
7-March-2018,240.05,245.40,237.50,244.60,242.113272622757389646,33053,543,8002570.00,8196,24.80,7.90,4.55
6-March-2018,246.45,248.50,241.50,242.50,243.923537965031740965,28197,497,6877912.00,8910,31.60,7.00,-3.95
5-March-2018,244.70,245.45,240.55,242.70,242.049465833501310219,24805,419,6004037.00,9434,38.03,4.90,-2.00
1-March-2018,250.00,251.00,244.30,245.20,246.838303512259774685,12072,352,2979832.00,4091,33.89,6.70,-4.80
28-February-2018,246.00,251.00,245.25,248.50,248.729240121580547112,32900,589,8183192.00,6587,20.02,5.75,2.50
27-February-2018,247.90,248.00,245.20,246.60,246.985704435761893817,21755,294,5373174.00,6416,29.49,2.80,-1.30
26-February-2018,243.00,249.00,243.00,247.75,247.014519138864867325,21971,349,5427156.00,5938,27.03,6.00,4.75
23-February-2018,240.10,246.20,239.55,245.50,243.549695290858725761,18050,437,4396072.00,4831,26.76,6.65,5.40
22-February-2018,245.95,246.45,240.00,240.90,242.125949748743718592,24875,445,6022883.00,7533,30.28,6.45,-5.05
21-February-2018,242.90,247.85,241.10,245.90,243.770269224818195884,25852,442,6301949.00,9363,36.22,6.75,3.00
20-February-2018,245.75,246.35,241.55,242.40,243.486878391602170625,22482,345,5474072.00,9839,43.76,4.80,-3.35
19-February-2018,252.00,252.00,242.25,245.70,244.272522013998645292,17716,351,4327532.00,4615,26.05,9.75,-6.30
16-February-2018,247.70,248.05,241.75,246.55,244.916341243616701712,19974,337,4891959.00,6512,32.60,6.30,-1.15
15-February-2018,245.00,250.40,245.00,246.50,247.213616339607529034,12485,216,3086462.00,4126,33.05,5.40,1.50
14-February-2018,249.00,252.05,245.00,247.45,249.529386281588447653,20775,412,5183973.00,7064,34.00,7.05,-1.55
12-February-2018,250.00,251.00,247.95,249.65,249.350960870571891641,21595,404,5384734.00,8905,41.24,3.05,-0.35
9-February-2018,247.10,251.10,246.10,247.10,248.385366506153023006,22428,352,5570787.00,8116,36.19,5.00,0.00
8-February-2018,250.00,251.80,247.50,250.85,249.905031617333281607,25777,595,6441802.00,6886,26.71,4.30,0.85
7-February-2018,249.00,252.70,244.05,247.50,248.236264359665295702,70510,1120,17503139.00,16646,23.61,8.65,-1.50
6-February-2018,239.00,243.90,232.00,240.80,237.451238395939239664,132389,2080,31435932.00,31508,23.80,11.90,1.80
5-February-2018,246.85,246.85,237.05,242.00,241.684663282402660731,39989,690,9664728.00,14463,36.17,9.80,-4.85
2-February-2018,260.00,260.00,241.00,246.85,250.413810895644322139,46514,1110,11647748.00,10566,22.72,19.00,-13.15
1-February-2018,250.15,260.90,250.15,260.10,256.554486742447719750,80671,1593,20696507.00,26998,33.47,10.75,9.95
31-January-2018,251.70,252.85,245.00,250.10,249.886603463015656301,78371,939,19583863.00,13921,17.76,7.85,-1.60
30-January-2018,248.55,252.90,247.00,251.60,248.897921875420060757,74394,722,18516512.00,4755,6.39,5.90,3.05
29-January-2018,253.40,255.35,248.25,249.85,251.602059995489060972,13301,276,3346559.00,3978,29.91,7.10,-3.55
25-January-2018,254.95,255.50,250.20,252.90,253.032112036978139643,282978,609,71602521.00,247935,87.62,5.30,-2.05
24-January-2018,251.00,254.95,248.00,252.10,250.995817087481545974,52834,625,13261113.00,10818,20.48,6.95,1.10
23-January-2018,255.00,255.00,249.40,251.65,251.929836995038979447,35275,932,8886825.00,12967,36.76,5.60,-3.35
22-January-2018,247.10,256.15,247.10,250.00,250.272218700475435816,63100,822,15792177.00,11741,18.61,9.05,2.90
19-January-2018,253.00,255.20,245.50,246.80,248.653765956364745969,78652,1048,19557116.00,30755,39.10,9.70,-6.20
18-January-2018,256.00,258.35,251.65,253.30,254.805452467076932713,63861,967,16272131.00,18734,29.34,6.70,-2.70
17-January-2018,258.10,261.00,255.40,258.40,257.660160586579918932,38733,542,9979951.00,9951,25.69,5.60,0.30
16-January-2018,265.45,265.45,259.20,260.85,261.857071921388250052,38264,496,10019699.00,11403,29.80,6.25,-4.60
15-January-2018,268.00,268.20,264.20,264.95,265.776634236552223204,87059,2132,23138248.00,26517,30.46,4.00,-3.05
12-January-2018,269.90,269.90,264.90,266.55,266.846127835353036866,109422,1059,29198837.00,33865,30.95,5.00,-3.35
11-January-2018,269.85,269.95,259.65,267.45,265.337228714524207011,94642,990,25112046.00,15719,16.61,10.30,-2.40
10-January-2018,265.00,280.60,261.00,262.45,272.234306219750228039,415499,3690,113113082.00,62417,15.02,19.60,-2.55
9-January-2018,264.20,269.40,264.15,267.85,267.138084818172345524,47985,506,12818621.00,14473,30.16,5.25,3.65
8-January-2018,266.25,267.60,262.85,263.60,265.185248728264692510,233146,1628,61826880.00,17275,7.41,4.75,-2.65
5-January-2018,269.40,269.40,264.50,266.10,266.641581571256661509,145425,1174,38776352.00,9278,6.38,4.90,-3.30
4-January-2018,263.45,266.80,262.15,265.20,264.847972972972972972,109520,1411,29006150.00,12197,11.14,4.65,1.75
3-January-2018,264.40,268.30,261.00,262.85,264.066610207871304013,3192889,2476,843135375.00,2725388,85.36,7.30,-1.55
2-January-2018,270.80,270.80,261.80,264.40,264.969748659386857762,1052317,852,278832171.00,1006004,95.60,9.00,-6.40
1-January-2018,277.70,280.40,267.60,268.90,274.047685464414957780,132640,1463,36349685.00,42239,31.84,12.80,-8.80
29-December-2017,263.05,277.50,262.30,271.00,268.632509029007844309,217355,3400,58388619.00,47218,21.72,15.20,7.95
28-December-2017,259.60,262.70,255.00,260.45,259.853080323673121170,38681,499,10051377.00,10902,28.18,7.70,0.85
27-December-2017,264.00,264.00,257.35,259.45,259.592630094383972805,27653,394,7178515.00,9588,34.67,6.65,-4.55
26-December-2017,259.00,263.00,257.90,259.95,260.873026886383347788,40355,508,10527531.00,10712,26.54,5.10,0.95
22-December-2017,260.00,261.20,258.10,259.70,259.757732207478890229,20725,293,5383479.00,6641,32.04,3.10,-0.30
21-December-2017,256.00,260.50,254.00,259.45,258.502694956581255079,46754,621,12086035.00,11476,24.55,6.50,3.45
