Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,289.00,290.90,282.40,284.45,285.897075552370965253,382397,2611,109326184.00,74261,19.42,8.50,-4.55
27-April-2018,276.15,291.70,276.05,288.05,288.109115973930329071,974926,8987,280885068.00,256637,26.32,15.65,11.90
26-April-2018,280.00,280.10,275.55,278.75,277.649287597183756548,299690,2369,83208715.00,79028,26.37,4.55,-1.25
25-April-2018,282.80,285.70,276.95,278.90,280.751480909950719299,401780,2645,112800330.00,93321,23.23,8.75,-3.90
24-April-2018,279.00,286.55,279.00,284.20,284.403863005290927039,540926,4031,153841444.00,134002,24.77,7.55,5.20
23-April-2018,280.00,282.65,275.35,279.55,278.995384544205792213,626807,5123,174876260.00,136993,21.86,7.30,-0.45
20-April-2018,288.90,290.15,279.65,281.95,284.575640321489688982,566239,3909,161137826.00,221845,39.18,10.50,-6.95
19-April-2018,290.20,291.00,287.25,289.15,289.019713706398572228,378772,2748,109472575.00,64422,17.01,3.75,-1.05
18-April-2018,293.00,294.80,289.00,290.20,291.831149644667494184,953051,4063,278129969.00,418981,43.96,5.80,-2.80
17-April-2018,288.00,293.25,287.00,291.70,290.820309864632650874,503962,4177,146562385.00,120492,23.91,6.25,3.70
